slug,commonName,scientificName,sources,image,imageCredit,imageLicense,toxicity,plantType
philodendron-hederaceum-mini,Heartleaf Philodendron (mini),Philodendron hederaceum,https://en.wikipedia.org/wiki/Philodendron_hederaceum|https://powo.science.kew.org/results?q=Philodendron%20hederaceum|https://plants.ces.ncsu.edu/plants/philodendron-hederaceum/,plants/philodendron-hederaceum-mini.png,,,"Contains insoluble calcium oxalate crystals — chewing or ingesting causes intense mouth and throat irritation, drooling, and vomiting in pets and people. Keep away from curious pets and children.",aroid
miniature-orchid,Miniature Orchid,Lepanthes telipogoniflora,https://en.wikipedia.org/wiki/Lepanthes_telipogoniflora|https://powo.science.kew.org/results?q=Lepanthes%20telipogoniflora|https://plants.ces.ncsu.edu/plants/lepanthes-telipogoniflora/,plants/miniature-orchid.png,,,,orchid
peperomia-caperata,Emerald Ripple Peperomia,Peperomia caperata,https://en.wikipedia.org/wiki/Peperomia_caperata|https://powo.science.kew.org/results?q=Peperomia%20caperata|https://plants.ces.ncsu.edu/plants/peperomia-caperata/|https://www.gardenia.net/plant/peperomia-caperata-emerald-ripple-peperomia,plants/peperomia-caperata.png,,,,foliage
peperomia-rotundifolia,Creeping Buttons,Peperomia rotundifolia,https://en.wikipedia.org/wiki/Peperomia_rotundifolia|https://powo.science.kew.org/results?q=Peperomia%20rotundifolia|https://plants.ces.ncsu.edu/plants/peperomia-rotundifolia/|https://terrariumtribe.com/terrarium-plants/peperomia-rotundifolia-trailing-jade/,plants/peperomia-rotundifolia.png,,,,vine
cryptanthus-bivittatus,Earth Star Bromeliad,Cryptanthus bivittatus,https://en.wikipedia.org/wiki/Cryptanthus_bivittatus|https://powo.science.kew.org/results?q=Cryptanthus%20bivittatus|https://plants.ces.ncsu.edu/plants/cryptanthus-bivittatus/,plants/cryptanthus-bivittatus.png,,,Leaf edges are finely serrated and can scratch skin during handling; wear gloves when working close to the plant.,bromeliad
ophiopogon-japonicus-mini,Dwarf Mondo Grass,Ophiopogon japonicus 'Nana',https://en.wikipedia.org/wiki/Ophiopogon_japonicus|https://powo.science.kew.org/results?q=Ophiopogon%20japonicus|https://plants.ces.ncsu.edu/plants/ophiopogon-japonicus/|https://plants.ces.ncsu.edu/plants/ophiopogon-japonicus-nana/,plants/ophiopogon-japonicus-mini.png,,,,foliage
syngonium-podophyllum-mini,Arrowhead Plant (mini),Syngonium podophyllum,https://en.wikipedia.org/wiki/Syngonium_podophyllum|https://powo.science.kew.org/results?q=Syngonium%20podophyllum|https://plants.ces.ncsu.edu/plants/syngonium-podophyllum/,plants/syngonium-podophyllum-mini.png,,,Foliage and sap carry calcium oxalate crystals; ingestion irritates the mouth and digestive tract and the sap can irritate skin. Toxic to cats and dogs. See more information on the NCSU page.,aroid
syngonium-podophyllum,Arrowhead Plant,Syngonium podophyllum,https://en.wikipedia.org/wiki/Syngonium_podophyllum|https://powo.science.kew.org/results?q=Syngonium%20podophyllum|https://plants.ces.ncsu.edu/plants/syngonium-podophyllum/,plants/syngonium-podophyllum.png,,,Foliage and sap carry calcium oxalate crystals; ingestion irritates the mouth and digestive tract and the sap can irritate skin. Toxic to cats and dogs. See more information on the NCSU page.,aroid
pilea-nummulariifolia,Creeping Charlie,Pilea nummulariifolia,https://en.wikipedia.org/wiki/Pilea_nummulariifolia|https://powo.science.kew.org/results?q=Pilea%20nummulariifolia|https://plants.ces.ncsu.edu/plants/pilea-nummulariifolia/,plants/pilea-nummulariifolia.png,,,,ground-cover
begonia-rex,Rex Begonia,Begonia rex-cultorum,https://en.wikipedia.org/wiki/Begonia_rex-cultorum|https://powo.science.kew.org/results?q=Begonia%20rex-cultorum|https://plants.ces.ncsu.edu/plants/begonia-rex-cultorum/,plants/begonia-rex.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
haworthia-attenuata,Zebra Haworthia,Haworthia attenuata,https://en.wikipedia.org/wiki/Haworthia_attenuata|https://powo.science.kew.org/results?q=Haworthia%20attenuata|https://plants.ces.ncsu.edu/plants/haworthia-attenuata/|https://www.gardenia.net/plant/haworthiopsis-attenuata-zebra-haworthia,plants/haworthia-attenuata.png,,,,succulent
echeveria-elegans,Mexican Snowball,Echeveria elegans,https://en.wikipedia.org/wiki/Echeveria_elegans|https://powo.science.kew.org/results?q=Echeveria%20elegans|https://plants.ces.ncsu.edu/plants/echeveria-elegans/,plants/echeveria-elegans.png,,,,succulent
sedum-rubrotinctum,Jelly Bean Plant,Sedum rubrotinctum,https://en.wikipedia.org/wiki/Sedum_rubrotinctum|https://powo.science.kew.org/results?q=Sedum%20rubrotinctum|https://plants.ces.ncsu.edu/plants/sedum-rubrotinctum/|https://www.rhs.org.uk/plants/16987/sedum-rubrotinctum/details,plants/sedum-rubrotinctum.png,,,The sap can cause skin irritation in sensitive individuals. Mildly toxic to cats and dogs if ingested; may cause vomiting.,succulent
crassula-ovata-mini,Mini Jade Plant,Crassula ovata (dwarf cultivar),https://en.wikipedia.org/wiki/Crassula_ovata|https://powo.science.kew.org/results?q=Crassula%20ovata|https://plants.ces.ncsu.edu/plants/crassula-ovata/,plants/crassula-ovata-mini.png,,,"Jade is toxic to cats and dogs; ingestion can cause vomiting, lethargy, and incoordination. Keep away from pets.",succulent
pilea-peperomioides,Chinese Money Plant,Pilea peperomioides,https://en.wikipedia.org/wiki/Pilea_peperomioides|https://powo.science.kew.org/results?q=Pilea%20peperomioides|https://plants.ces.ncsu.edu/plants/pilea-peperomioides/,plants/pilea-peperomioides.png,,,,foliage
tradescantia-fluminensis,Wandering Dude,Tradescantia fluminensis,https://en.wikipedia.org/wiki/Tradescantia_fluminensis|https://powo.science.kew.org/results?q=Tradescantia%20fluminensis|https://plants.ces.ncsu.edu/plants/tradescantia-fluminensis/,plants/tradescantia-fluminensis.png,,,The sap causes contact dermatitis in pets and can irritate sensitive skin in people; ingestion may cause mild digestive upset. Listed toxic to cats and dogs.,vine
leucobryum-glaucum,Cushion Moss,Leucobryum glaucum,https://en.wikipedia.org/wiki/Leucobryum_glaucum|https://powo.science.kew.org/results?q=Leucobryum%20glaucum|https://ohiomosslichen.org/moss-leucobryum-glaucum/|https://terrariumtribe.com/terrarium-plants/leucobryum-glaucum-cushion-moss/,plants/leucobryum-glaucum.png,,,,moss
fissidens-fontanus,Pocket Moss,Fissidens fontanus,https://en.wikipedia.org/wiki/Fissidens_fontanus|https://powo.science.kew.org/results?q=Fissidens%20fontanus|https://plants.ces.ncsu.edu/plants/fissidens-fontanus/|https://www.aquariadise.com/fissidens-fontanus/,plants/fissidens-fontanus.png,,,,moss
davallia-fejeensis,Rabbit's Foot Fern,Davallia fejeensis,https://en.wikipedia.org/wiki/Davallia_fejeensis|https://powo.science.kew.org/results?q=Davallia%20fejeensis|https://plants.ces.ncsu.edu/plants/davallia-fejeensis/,plants/davallia-fejeensis.png,,,,fern
asplenium-bulbiferum,Mother Spleenwort,Asplenium bulbiferum,https://en.wikipedia.org/wiki/Asplenium_bulbiferum|https://powo.science.kew.org/results?q=Asplenium%20bulbiferum|https://plants.ces.ncsu.edu/plants/asplenium-bulbiferum/,plants/asplenium-bulbiferum.png,,,,fern
peperomia-argyreia,Watermelon Peperomia,Peperomia argyreia,https://en.wikipedia.org/wiki/Peperomia_argyreia|https://powo.science.kew.org/results?q=Peperomia%20argyreia|https://plants.ces.ncsu.edu/plants/peperomia-argyreia/|https://www.gardenia.net/plant/peperomia-argyreia-watermelon-peperomia,plants/peperomia-argyreia.png,,,,foliage
peperomia-obtusifolia,Baby Rubber Plant,Peperomia obtusifolia,https://en.wikipedia.org/wiki/Peperomia_obtusifolia|https://powo.science.kew.org/results?q=Peperomia%20obtusifolia|https://plants.ces.ncsu.edu/plants/peperomia-obtusifolia/,plants/peperomia-obtusifolia.png,,,,foliage
bucephalandra-sp-mini,Mini Bucephalandra,Bucephalandra sp.,https://en.wikipedia.org/wiki/Bucephalandra|https://powo.science.kew.org/results?q=Bucephalandra|https://plants.ces.ncsu.edu/plants/bucephalandra/|https://aquariumbreeder.com/bucephalandra-care-guide-planting-growing-and-propagation/,plants/bucephalandra-sp-mini.png,,,,aroid
anubias-nana-petite,Anubias Petite,Anubias barteri var. nana 'Petite',https://en.wikipedia.org/wiki/Anubias_barteri_var._nana|https://powo.science.kew.org/results?q=Anubias%20barteri|https://tropica.com/en/plants/plantdetails/Anubiasbarteri'Petite'(101HCLP)/30576|https://www.aquariadise.com/anubias-nana-petite/,plants/anubias-nana-petite.png,,,Contains calcium oxalate crystals; ingestion can cause mouth irritation and digestive upset. Mildly toxic to cats and dogs.,aroid
hydrocotyle-tripartita,Dwarf Pennywort,Hydrocotyle tripartita,https://en.wikipedia.org/wiki/Hydrocotyle_tripartita|https://powo.science.kew.org/results?q=Hydrocotyle%20tripartita|https://plants.ces.ncsu.edu/plants/hydrocotyle-tripartita/|https://www.aquarzon.com/foreground/183-carpeting-japanese-dwarf-pennywort-hydrocotyle-tripartita-sp-japan.html,plants/hydrocotyle-tripartita.png,,,,ground-cover
pilea-glauca,Silver Sparkle Pilea,Pilea glauca,https://en.wikipedia.org/wiki/Pilea_glauca|https://powo.science.kew.org/results?q=Pilea%20glauca|https://plants.ces.ncsu.edu/plants/pilea-glauca/|https://terrariumtribe.com/terrarium-plants/pilea-glauca/,plants/pilea-glauca.png,,,,ground-cover
epipremnum-pinnatum-mini,Miniature Pothos,Epipremnum pinnatum,https://en.wikipedia.org/wiki/Epipremnum_pinnatum|https://powo.science.kew.org/results?q=Epipremnum%20pinnatum|https://plants.ces.ncsu.edu/plants/epipremnum-pinnatum/,plants/epipremnum-pinnatum-mini.png,,,"Pothos contains insoluble calcium oxalates; ingestion causes oral irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
ludwigia-repens,Creeping Primrose-Willow,Ludwigia repens,https://en.wikipedia.org/wiki/Ludwigia_repens|https://powo.science.kew.org/results?q=Ludwigia%20repens|https://plants.ces.ncsu.edu/plants/ludwigia-repens/,plants/ludwigia-repens.png,,,,foliage
vesicularia-dubyana,Java Moss,Vesicularia dubyana,https://en.wikipedia.org/wiki/Vesicularia_dubyana,plants/vesicularia-dubyana.png,,,,moss
soleirolia-soleirolii-minor,Miniature Baby Tears,Soleirolia soleirolii 'Minor',https://en.wikipedia.org/wiki/Soleirolia_soleirolii|https://powo.science.kew.org/results?q=Soleirolia%20soleirolii|https://plants.ces.ncsu.edu/plants/soleirolia-soleirolii/,plants/soleirolia-soleirolii-minor.png,,,,ground-cover
rhipsalis-baccifera,Mistletoe Cactus,Rhipsalis baccifera,https://en.wikipedia.org/wiki/Rhipsalis_baccifera|https://powo.science.kew.org/results?q=Rhipsalis%20baccifera|https://plants.ces.ncsu.edu/plants/rhipsalis-baccifera/,plants/rhipsalis-baccifera.png,,,,succulent
drosera-capensis,Cape Sundew,Drosera capensis,https://en.wikipedia.org/wiki/Drosera_capensis|https://powo.science.kew.org/results?q=Drosera%20capensis|https://plants.ces.ncsu.edu/plants/drosera/,plants/drosera-capensis.png,,,,carnivorous
nepenthes-ventricosa,Tropical Pitcher Plant,Nepenthes ventricosa,https://en.wikipedia.org/wiki/Nepenthes_ventricosa|https://powo.science.kew.org/results?q=Nepenthes%20ventricosa|https://plants.ces.ncsu.edu/plants/nepenthes-ventricosa/,plants/nepenthes-ventricosa.png,,,,carnivorous
pinguicula-moranensis,Mexican Butterwort,Pinguicula moranensis,https://en.wikipedia.org/wiki/Pinguicula_moranensis|https://powo.science.kew.org/results?q=Pinguicula%20moranensis|https://plants.ces.ncsu.edu/plants/pinguicula-moranensis/,plants/pinguicula-moranensis.png,,,,carnivorous
nephrolepis-duffii,Lemon Button Fern,Nephrolepis cordifolia 'Duffii',https://en.wikipedia.org/wiki/Nephrolepis_cordifolia|https://powo.science.kew.org/results?q=Nephrolepis%20cordifolia|https://plants.ces.ncsu.edu/plants/nephrolepis-cordifolia/|https://terrariumtribe.com/terrarium-plants/nephrolepis-cordifolia-duffii-lemon-button-fern/,plants/nephrolepis-duffii.png,,,,fern
pteris-cretica,Silver Lace Fern,Pteris cretica,https://en.wikipedia.org/wiki/Pteris_cretica|https://powo.science.kew.org/results?q=Pteris%20cretica|https://plants.ces.ncsu.edu/plants/pteris-cretica/,plants/pteris-cretica.png,,,,fern
microsorum-musifolium,Crocodile Fern,Microsorum musifolium,https://en.wikipedia.org/wiki/Microsorum_musifolium|https://powo.science.kew.org/results?q=Microsorum%20musifolium|https://plants.ces.ncsu.edu/plants/microsorum-musifolium/,plants/microsorum-musifolium.png,,,,fern
selaginella-kraussiana,Golden Clubmoss,Selaginella kraussiana 'Aurea',https://en.wikipedia.org/wiki/Selaginella_kraussiana|https://powo.science.kew.org/results?q=Selaginella%20kraussiana|https://plants.ces.ncsu.edu/plants/selaginella-kraussiana/,plants/selaginella-kraussiana.png,,,,fern-ally
hypnum-moss,Sheet Moss,Hypnum cupressiforme,https://en.wikipedia.org/wiki/Hypnum_cupressiforme|https://powo.science.kew.org/results?q=Hypnum%20cupressiforme|https://plants.ces.ncsu.edu/plants/hypnum-cupressiforme/|https://terrariumtribe.com/terrarium-plants/hypnum-cupressiforme-sheet-moss/,plants/hypnum-moss.png,,,,moss
dicranum-scoparium,Mood Moss,Dicranum scoparium,https://en.wikipedia.org/wiki/Dicranum_scoparium|https://powo.science.kew.org/results?q=Dicranum%20scoparium|https://plants.ces.ncsu.edu/plants/dicranum-scoparium/|https://ohiomosslichen.org/moss-dicranum-scoparium/,plants/dicranum-scoparium.png,,,,moss
rhaphidophora-tetrasperma,Mini Monstera,Rhaphidophora tetrasperma,https://en.wikipedia.org/wiki/Rhaphidophora_tetrasperma|https://powo.science.kew.org/results?q=Rhaphidophora%20tetrasperma|https://plants.ces.ncsu.edu/plants/rhaphidophora-tetrasperma/,plants/rhaphidophora-tetrasperma.png,,,An aroid containing calcium oxalate crystals; ingestion irritates the mouth and digestive tract. Toxic to cats and dogs.,aroid
anthurium-scandens,Anthurium,Anthurium scandens,https://en.wikipedia.org/wiki/Anthurium_scandens|https://powo.science.kew.org/results?q=Anthurium%20scandens|https://plants.ces.ncsu.edu/plants/anthurium/,plants/anthurium-scandens.png,,,An aroid containing calcium oxalate crystals; sap can irritate skin and ingestion irritates the mouth and gut. Toxic to cats and dogs.,aroid
spathiphyllum-wallisii,Peace Lily,Spathiphyllum wallisii,https://en.wikipedia.org/wiki/Spathiphyllum_wallisii|https://powo.science.kew.org/results?q=Spathiphyllum%20wallisii|https://plants.ces.ncsu.edu/plants/spathiphyllum-wallisii/|https://www.bloomingexpert.com/tips/peace-lily/spathiphyllum-care-guide/,plants/spathiphyllum-wallisii.png,,,Peace lily contains insoluble calcium oxalate crystals; ingestion irritates the mouth and throat and causes drooling and vomiting. Toxic to cats and dogs.,aroid
begonia-pavonina,Peacock Begonia,Begonia pavonina,https://en.wikipedia.org/wiki/Begonia_pavonina|https://powo.science.kew.org/results?q=Begonia%20pavonina|https://plants.ces.ncsu.edu/plants/begonia-pavonina/,plants/begonia-pavonina.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-maculata,Polka Dot Begonia,Begonia maculata,https://en.wikipedia.org/wiki/Begonia_maculata|https://powo.science.kew.org/results?q=Begonia%20maculata|https://plants.ces.ncsu.edu/plants/begonia-maculata/,plants/begonia-maculata.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
aeschynanthus-radicans,Lipstick Plant,Aeschynanthus radicans,https://en.wikipedia.org/wiki/Aeschynanthus_radicans|https://powo.science.kew.org/results?q=Aeschynanthus%20radicans|https://plants.ces.ncsu.edu/plants/aeschynanthus-radicans/|https://www.gardenersworld.com/house-plants/lipstick-plant-aeschynanthus/,plants/aeschynanthus-radicans.png,,,,foliage
streptocarpus-hybrid,Cape Primrose,Streptocarpus hybridus,https://en.wikipedia.org/wiki/Streptocarpus|https://powo.science.kew.org/results?q=Streptocarpus%20hybridus|https://plants.ces.ncsu.edu/plants/streptocarpus/,plants/streptocarpus-hybrid.png,,,,foliage
senecio-rowleyanus,String of Pearls,Curio rowleyanus,https://en.wikipedia.org/wiki/Curio_rowleyanus|https://powo.science.kew.org/results?q=Curio%20rowleyanus|https://plants.ces.ncsu.edu/plants/curio-rowleyanus/|https://hort.extension.wisc.edu/articles/string-of-pearls-senecio-rowleyanus/,plants/senecio-rowleyanus.png,,,"String of pearls is toxic if ingested — causing drooling, vomiting, and lethargy in pets — and the sap can irritate skin. Mildly toxic to people.",succulent
lithops-sp,Living Stones,Lithops sp.,https://en.wikipedia.org/wiki/Lithops|https://powo.science.kew.org/results?q=Lithops|https://plants.ces.ncsu.edu/plants/lithops/,plants/lithops-sp.png,,,Considered mildly toxic if ingested in quantity; may cause digestive upset in cats and dogs.,succulent
mammillaria-gracilis,Thimble Cactus,Mammillaria gracilis,https://en.wikipedia.org/wiki/Mammillaria_gracilis|https://powo.science.kew.org/results?q=Mammillaria%20gracilis|https://plants.ces.ncsu.edu/plants/mammillaria-gracilis/,plants/mammillaria-gracilis.png,,,"Dense fine spines and hooked centrals embed in skin easily and are painful to remove; handle with tongs or a folded paper collar, not bare hands.",succulent
sedum-morganianum,Burro's Tail,Sedum morganianum,https://en.wikipedia.org/wiki/Sedum_morganianum|https://powo.science.kew.org/results?q=Sedum%20morganianum|https://plants.ces.ncsu.edu/plants/sedum-morganianum/,plants/sedum-morganianum.png,,,Mildly toxic to cats and dogs; ingestion may cause vomiting and diarrhea.,succulent
ficus-pumila,Creeping Fig,Ficus pumila,https://en.wikipedia.org/wiki/Ficus_pumila|https://powo.science.kew.org/results?q=Ficus%20pumila|https://plants.ces.ncsu.edu/plants/ficus-pumila/,plants/ficus-pumila.png,,,Ficus sap (a milky latex) can irritate skin and the mouth; ingestion may cause mild digestive upset. Toxic to cats and dogs.,vine
saxifraga-stolonifera,Strawberry Begonia,Saxifraga stolonifera,https://en.wikipedia.org/wiki/Saxifraga_stolonifera|https://powo.science.kew.org/results?q=Saxifraga%20stolonifera|https://plants.ces.ncsu.edu/plants/saxifraga-stolonifera/,plants/saxifraga-stolonifera.png,,,,ground-cover
pilea-cadierei,Aluminum Plant,Pilea cadierei,https://en.wikipedia.org/wiki/Pilea_cadierei|https://powo.science.kew.org/results?q=Pilea%20cadierei|https://plants.ces.ncsu.edu/plants/pilea-cadierei/,plants/pilea-cadierei.png,,,,foliage
tradescantia-zebrina,Inch Plant,Tradescantia zebrina,https://en.wikipedia.org/wiki/Tradescantia_zebrina|https://powo.science.kew.org/results?q=Tradescantia%20zebrina|https://plants.ces.ncsu.edu/plants/tradescantia-zebrina/,plants/tradescantia-zebrina.png,,,The sap causes contact dermatitis in pets and can irritate sensitive skin in people; ingestion may cause mild digestive upset. Listed toxic to cats and dogs.,vine
macodes-petola,Lightning Bolt Orchid,Macodes petola,https://en.wikipedia.org/wiki/Macodes_petola|https://powo.science.kew.org/results?q=Macodes%20petola|https://www.gardenia.net/plant/macodes-petola-jewel-orchid-grow-care-guide,plants/macodes-petola.png,,,,orchid
ludisia-discolor,Black Jewel Orchid,Ludisia discolor,https://en.wikipedia.org/wiki/Ludisia_discolor|https://powo.science.kew.org/results?q=Ludisia%20discolor|https://plants.ces.ncsu.edu/plants/ludisia-discolor/|https://www.ukhouseplants.com/plants/jewel-orchid-ludisia-discolor,plants/ludisia-discolor.png,,,,orchid
peperomia-prostrata,String of Turtles,Peperomia prostrata,https://en.wikipedia.org/wiki/Peperomia_prostrata|https://powo.science.kew.org/results?q=Peperomia%20prostrata|https://plants.ces.ncsu.edu/plants/peperomia-prostrata/,plants/peperomia-prostrata.png,,,,foliage
scindapsus-pictus-argyraeus,Satin Pothos,Scindapsus pictus 'Argyraeus',https://en.wikipedia.org/wiki/Scindapsus_pictus|https://powo.science.kew.org/results?q=Scindapsus%20pictus|https://plants.ces.ncsu.edu/plants/scindapsus-pictus/,plants/scindapsus-pictus-argyraeus.png,,,Contains calcium oxalate crystals; causes oral irritation and digestive upset if ingested. Toxic to cats and dogs.,vine
asparagus-setaceus,Asparagus Fern,Asparagus setaceus,https://en.wikipedia.org/wiki/Asparagus_setaceus|https://powo.science.kew.org/results?q=Asparagus%20setaceus|https://plants.ces.ncsu.edu/plants/asparagus-setaceus/,plants/asparagus-setaceus.png,,,Berries are toxic to pets if ingested; repeated contact with fine foliage can cause skin irritation. Toxic to cats and dogs.,foliage
pellaea-rotundifolia,Button Fern,Pellaea rotundifolia,https://en.wikipedia.org/wiki/Pellaea_rotundifolia|https://powo.science.kew.org/results?q=Pellaea%20rotundifolia|https://plants.ces.ncsu.edu/plants/pellaea-rotundifolia/|https://www.gardenia.net/plant/pellaea-rotundifolia-button-fern,plants/pellaea-rotundifolia.png,,,,fern
chamaedorea-elegans,Parlor Palm,Chamaedorea elegans,https://en.wikipedia.org/wiki/Chamaedorea_elegans|https://powo.science.kew.org/results?q=Chamaedorea%20elegans|https://plants.ces.ncsu.edu/plants/chamaedorea-elegans/,plants/chamaedorea-elegans.png,,,,foliage
biophytum-sensitivum,Little Tree Plant,Biophytum sensitivum,https://en.wikipedia.org/wiki/Biophytum_sensitivum|https://powo.science.kew.org/results?q=Biophytum%20sensitivum|https://www.gardenia.net/plant/biophytum-sensitivum-little-tree-plant-grow-care-guide,plants/biophytum-sensitivum.png,,,,foliage
tillandsia-ionantha,Air Plant,Tillandsia ionantha,https://en.wikipedia.org/wiki/Tillandsia_ionantha|https://powo.science.kew.org/results?q=Tillandsia%20ionantha|https://plants.ces.ncsu.edu/plants/tillandsia-ionantha/,plants/tillandsia-ionantha.png,,,,
neoregelia-hybrid-liliputiana,Miniature Neoregelia,Neoregelia hybrid 'Liliputiana',https://en.wikipedia.org/wiki/Neoregelia|https://powo.science.kew.org/results?q=Neoregelia,plants/neoregelia-hybrid-liliputiana.png,,,Leaf tips are sharp and margins have fine teeth; handle with care to avoid scratches.,bromeliad
marcgravia-rectiflora,Shingle Plant,Marcgravia rectiflora,https://en.wikipedia.org/wiki/Marcgravia|https://powo.science.kew.org/results?q=Marcgravia%20rectiflora,plants/marcgravia-rectiflora.png,,,,vine
dischidia-ruscifolia,Million Hearts Plant,Dischidia ruscifolia,https://en.wikipedia.org/wiki/Dischidia_ruscifolia|https://powo.science.kew.org/results?q=Dischidia%20ruscifolia,plants/dischidia-ruscifolia.png,,,,vine
ficus-pumila-panama,Panama Creeping Fig,Ficus pumila 'Panama',https://en.wikipedia.org/wiki/Ficus_pumila|https://powo.science.kew.org/results?q=Ficus%20pumila|https://glassboxtropicals.com/ficus-sp-panama/,plants/ficus-pumila-panama.png,,,Ficus sap (a milky latex) can irritate skin and the mouth; ingestion may cause mild digestive upset. Toxic to cats and dogs.,vine
rhaphidophora-hayi,Shingle Vine,Rhaphidophora hayi,https://en.wikipedia.org/wiki/Rhaphidophora_hayi|https://powo.science.kew.org/results?q=Rhaphidophora%20hayi,plants/rhaphidophora-hayi.png,,,"An aroid containing insoluble calcium oxalate crystals; ingestion causes oral irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
hemionitis-arifolia,Heart Fern,Hemionitis arifolia,https://en.wikipedia.org/wiki/Hemionitis_arifolia|https://powo.science.kew.org/results?q=Hemionitis%20arifolia|https://plants.ces.ncsu.edu/plants/hemionitis-arifolia/,plants/hemionitis-arifolia.png,,,,fern
